PillarID,FocusAreaID,FocusAreaNum,FocusAreaName
P1,P1.F1,"=RIGHT(B2,1)",Ignite early learning
P1,P1.F2,"=RIGHT(B3,1)",Elevate teaching and learning
P1,P1.F3,"=RIGHT(B4,1)",Promote excellence for all
P1,P1.F4,"=RIGHT(B5,1)",Reimagine the student experience
P1,P1.F5,"=RIGHT(B6,1)",Launch life-ready graduates
P2,P2.F1,"=RIGHT(B7,1)",Improve educator recruitment and retention
P2,P2.F2,"=RIGHT(B8,1)",Expand career pathways for education professionals
P2,P2.F3,"=RIGHT(B9,1)",Increase educator compensation
P2,P2.F4,"=RIGHT(B10,1)",Elevate and restore pride in the education profession
P3,P3.F1,"=RIGHT(B11,1)",Engage and empower families
P3,P3.F2,"=RIGHT(B12,1)",Strengthen community partnerships
P4,P4.F1,"=RIGHT(B13,1)",Ensure safe school environments
P4,P4.F2,"=RIGHT(B14,1)",Improve student and staff health and well-being
P5,P5.F1,"=RIGHT(B15,1)",Improve NCDPI’s services to stakeholders
P5,P5.F2,"=RIGHT(B16,1)",Improve collaboration and communication across NCDPI offices
P5,P5.F3,"=RIGHT(B17,1)",Modernize NCDPI and PSU operations
P6,P6.F1,"=RIGHT(B18,1)",Transform schools through research and development
P6,P6.F2,"=RIGHT(B19,1)",Connect North Carolina public schools through education networks
P6,P6.F3,"=RIGHT(B20,1)",Promote integrated support systems for schools and districts
P6,P6.F4,"=RIGHT(B21,1)",Explore accountability and funding reform
P7,P7.F1,"=RIGHT(B22,1)",Develop comprehensive public education messaging
P7,P7.F2,"=RIGHT(B23,1)",Engage partners on education
P7,P7.F3,"=RIGHT(B24,1)",Share public education messaging and stories
P8,P8.F1,"=RIGHT(B25,1)",Build community voices
P8,P8.F2,"=RIGHT(B26,1)",Promote engagement initiatives
P8,P8.F3,"=RIGHT(B27,1)",Move champions to action





































































































































































































































































































































































































































































































































































































































































































































































































































































































