PillarID,PillarNum,PillarName,PillarTitleLine1,PillarTitleLine2,PillarURL,PillarDesc,PillarDesc,PillarDescWrapped
P1,1.0,Prepare Each Student for Their Next Phase in Life,Prepare Each Student for,Their Next Phase in Life,https://go.ncdpi.gov/PillarOne,"Public education unlocks the doors to the world and allows our democracy
and economy to flourish. Children who have learned the skill of lifelong
learning are prepared to chart their own path. Teaching and learning go
beyond a focus on a single academic assessment. North Carolina public
schools should be places where students build a strong foundation in early
childhood, learn to think critically and develop good character.
Throughout their journey in public education, students will not only develop
foundational skills in reading, writing, mathematics, the sciences and civic
engagement, but will also be given ample opportunities to find inspiration
and growth through world languages, arts, career and technical education
(CTE) courses, physical education, health, financial literacy, college-level
courses, and co-curricular and extracurricular activities, such as athletics.
Students will also develop work-ready skills needed to succeed in college,
career and their lives beyond pre-K–12 instruction.
Preparing our students for the next phase of their lives means giving them
the tools that all people need to function in the 21st century. It also means
ensuring access to opportunities after they graduate from high school.
Because every student is different, the preparation they need must be
flexible and responsive, tailored to their individual needs.",<openpyxl.worksheet.formula.ArrayFormula object at 0x72f598e17400>,"=IFERROR(__xludf.DUMMYFUNCTION(""ARRAYFORMULA(IF(ISBLANK(G2:G1000), , TRIM(REGEXREPLACE(SUBSTITUTE(G2:G1000, CHAR(10), """" """"), """"(.{1,60})(?:\s+|$)"""", """"$1"""" & CHAR(10))) ))""),""Public education unlocks the doors to the world and allows
our democracy
 and economy to flourish. Children who have
learned the skill of lifelong
 learning are prepared to
chart their own path. Teaching and learning go
 beyond a
focus on a single academi""&""c assessment. North Carolina public
schools should be places where students build a strong
foundation in early
 childhood, learn to think critically
and develop good character.
 Throughout their journey in
public education, students will not only develop
""&""
foundational skills in reading, writing, mathematics, the
sciences and civic
 engagement, but will also be given ample
opportunities to find inspiration
 and growth through world
languages, arts, career and technical education
 (CTE)
courses, physical ed""&""ucation, health, financial literacy,
college-level
 courses, and co-curricular and
extracurricular activities, such as athletics.
 Students
will also develop work-ready skills needed to succeed in
college,
 career and their lives beyond pre-K–12
instructi""&""on.
 Preparing our students for the next phase of
their lives means giving them
 the tools that all people
need to function in the 21st century. It also means
ensuring access to opportunities after they graduate from
high school.
 Because every student i""&""s different, the
preparation they need must be
 flexible and responsive,
tailored to their individual needs."")"
P2,2.0,Revere Public School Educators,Revere Public School Educators,,https://go.ncdpi.gov/PillarTwo,"To fully prepare each student for their next phase of life, we must
first honor and uplift those who make that preparation possible: the
dedicated professionals who serve in our public schools. Every adult in
a school building plays a vital role in shaping the student experience and
contributing to student success.
North Carolina’s public school professionals are the single most important
in-school factor influencing student learning. Yet today, they are not
compensated adequately, and too often, their working conditions fail to
reflect the deep respect they deserve. Reversing this trend is not just a
moral imperative — it is essential to the future of our students and our state.
To truly revere our educators and school staff, we must start by
ensuring competitive pay for our educators – beginning and veterans,
alike. We must go further to ensure supportive and respectful working
environments and provide resources necessary for every professional to
thrive throughout their career. We must also elevate all educational roles
and recognize the profession as an aspirational career that attracts and
retains talented individuals committed to public service. Education must
be a profession of choice, pride and purpose.","To fully prepare each student for their next phase of life, we must first honor and uplift those who make that preparation possible: the dedicated professionals who serve in our public schools. Every adult in a school building plays a vital role in shaping the student experience and contributing to student success. North Carolina’s public school professionals are the single most important in-school factor influencing student learning. Yet today, they are not compensated adequately, and too often, their working conditions fail to reflect the deep respect they deserve. Reversing this trend is not just a moral imperative — it is essential to the future of our students and our state. To truly revere our educators and school staff, we must start by ensuring competitive pay for our educators – beginning and veterans, alike. We must go further to ensure supportive and respectful working environments and provide resources necessary for every professional to thrive throughout their career. We must also elevate all educational roles and recognize the profession as an aspirational career that attracts and retains talented individuals committed to public service. Education must be a profession of choice, pride and purpose.","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""To fully prepare each student for their next phase of life,
we must first honor and uplift those who make that
preparation possible: the dedicated professionals who serve
in our public schools. Every adult in a school building
plays a vital role in shapin""&""g the student experience and
contributing to student success. North Carolina’s public
school professionals are the single most important in-school
factor influencing student learning. Yet today, they are not
compensated adequately, and too often, their wo""&""rking
conditions fail to reflect the deep respect they deserve.
Reversing this trend is not just a moral imperative — it is
essential to the future of our students and our state. To
truly revere our educators and school staff, we must start
by ensuring co""&""mpetitive pay for our educators – beginning
and veterans, alike. We must go further to ensure supportive
and respectful working environments and provide resources
necessary for every professional to thrive throughout their
career. We must also elevate all""&"" educational roles and
recognize the profession as an aspirational career that
attracts and retains talented individuals committed to
public service. Education must be a profession of choice,
pride and purpose."")"
P3,3.0,"Enhance Parent, Caregiver and Community Support","Enhance Parent, Caregiver ",and Community Support,https://go.ncdpi.gov/PillarThree,"While schools are a powerful force in a child’s life, there are many
important partners who support our state’s students. Parents, guardians
and other caregivers (collectively referred to here as “parents”) are the
most important people in a child’s life and they are the most important
partners for schools. Important, too, are community organizations, houses
of worship, nonprofits, healthcare providers, philanthropies, mental
health providers, social service providers, volunteers and community
organizations that impact children. Study after study shows that students
who have strong parent and/or community support do far better than
students who do not. Parents and community also make a major
difference in the life of the school itself, creating the type of environment
where students learn and grow.
Educators must be empowered to establish strong relationships with
families and view family and community stakeholders as true partners in
decision-making processes. In turn, families will feel strongly connected
to their students’ schools. Communities should see their public schools as
the anchor.","While schools are a powerful force in a child’s life, there are many
 important partners who support our state’s students. Parents, guardians
 and other caregivers (collectively referred to here as “parents”) are the
 most important people in a child’s life and they are the most important
 partners for schools. Important, too, are community organizations, houses
 of worship, nonprofits, healthcare providers, philanthropies, mental
 health providers, social service providers, volunteers and community
 organizations that impact children. Study after study shows that students
 who have strong parent and/or community support do far better than
 students who do not. Parents and community also make a major
 difference in the life of the school itself, creating the type of environment
 where students learn and grow.
 Educators must be empowered to establish strong relationships with
 families and view family and community stakeholders as true partners in
 decision-making processes. In turn, families will feel strongly connected
 to their students’ schools. Communities should see their public schools as
 the anchor.","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""While schools are a powerful force in a child’s life, there
are many
 important partners who support our state’s
students. Parents, guardians
 and other caregivers
(collectively referred to here as “parents”) are the
 most
important people in a child’s li""&""fe and they are the most
important
 partners for schools. Important, too, are
community organizations, houses
 of worship, nonprofits,
healthcare providers, philanthropies, mental
 health
providers, social service providers, volunteers and
community
 orga""&""nizations that impact children. Study after
study shows that students
 who have strong parent and/or
community support do far better than
 students who do not.
Parents and community also make a major
 difference in the
life of the school itself, creating ""&""the type of environment
where students learn and grow.
 Educators must be empowered
to establish strong relationships with
 families and view
family and community stakeholders as true partners in
decision-making processes. In turn, families will feel
st""&""rongly connected
 to their students’ schools. Communities
should see their public schools as
 the anchor."")"
P4,4.0,"Ensure Healthy, Safe and Secure Learning Environments","Ensure Healthy, Safe and",Secure Learning Environments,https://go.ncdpi.gov/PillarFour,"Students and staff in our public schools are not able to achieve
educational excellence unless we ensure their safety and well-being.
Physical safety must balance effective security measures with maintaining
welcoming, nurturing spaces. Through thoughtful design, staff training
and appropriate protocols, we should create environments where
students and staff can focus on teaching and learning. Within these
environments, proven, research-based practices that foster emotional
security and physical and mental well-being should be implemented.
School counselors, social workers, nurses and psychologists work
collaboratively with teachers to provide appropriate support tailored to
individual student needs. Overall, schools must be places where students
develop resilience, build relationships and prepare for their futures in safe,
secure environments that nurture their full potential.","Students and staff in our public schools are not able to achieve
 educational excellence unless we ensure their safety and well-being.
 Physical safety must balance effective security measures with maintaining
 welcoming, nurturing spaces. Through thoughtful design, staff training
 and appropriate protocols, we should create environments where
 students and staff can focus on teaching and learning. Within these
 environments, proven, research-based practices that foster emotional
 security and physical and mental well-being should be implemented.
 School counselors, social workers, nurses and psychologists work
 collaboratively with teachers to provide appropriate support tailored to
 individual student needs. Overall, schools must be places where students
 develop resilience, build relationships and prepare for their futures in safe,
 secure environments that nurture their full potential.","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Students and staff in our public schools are not able to
achieve
 educational excellence unless we ensure their
safety and well-being.
 Physical safety must balance
effective security measures with maintaining
 welcoming,
nurturing spaces. Through thought""&""ful design, staff training
and appropriate protocols, we should create environments
where
 students and staff can focus on teaching and
learning. Within these
 environments, proven, research-based
practices that foster emotional
 security and physical an""&""d
mental well-being should be implemented.
 School counselors,
social workers, nurses and psychologists work
collaboratively with teachers to provide appropriate support
tailored to
 individual student needs. Overall, schools must
be places where student""&""s
 develop resilience, build
relationships and prepare for their futures in safe,
 secure
environments that nurture their full potential."")"
P5,5.0,Optimize Operational Excellence,Optimize Operational Excellence,,https://go.ncdpi.gov/PillarFive,"NCDPI is committed to reimagining its operational infrastructure to better
serve schools and districts through a focus on organizational excellence.
At the core of this pillar is NCDPI’s unwavering dedication to support
PSUs in providing a high-quality education for every student. Through
modernized operations at both the state and local levels, we aim to use
cutting-edge technology, streamlined processes and data-informed
decision-making to eliminate unnecessary administrative burdens. This
operational focus extends beyond NCDPI itself, as the agency will actively
partner with PSUs across the state to model operational efficiency and
share best practices. Through this pillar, NCDPI will model that careful
attention to processes, systems and service delivery creates the essential
foundation upon which educational innovation can flourish, ultimately
ensuring that North Carolina’s public schools operate with maximum
effectiveness to support the success of every student.","NCDPI is committed to reimagining its operational infrastructure to better
 serve schools and districts through a focus on organizational excellence.
 At the core of this pillar is NCDPI’s unwavering dedication to support
 PSUs in providing a high-quality education for every student. Through
 modernized operations at both the state and local levels, we aim to use
 cutting-edge technology, streamlined processes and data-informed
 decision-making to eliminate unnecessary administrative burdens. This
 operational focus extends beyond NCDPI itself, as the agency will actively
 partner with PSUs across the state to model operational efficiency and
 share best practices. Through this pillar, NCDPI will model that careful
 attention to processes, systems and service delivery creates the essential
 foundation upon which educational innovation can flourish, ultimately
 ensuring that North Carolina’s public schools operate with maximum
 effectiveness to support the success of every student.","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""NCDPI is committed to reimagining its operational
infrastructure to better
 serve schools and districts
through a focus on organizational excellence.
 At the core
of this pillar is NCDPI’s unwavering dedication to support
PSUs in providing a high-quality""&"" education for every
student. Through
 modernized operations at both the state
and local levels, we aim to use
 cutting-edge technology,
streamlined processes and data-informed
 decision-making to
eliminate unnecessary administrative burdens. This
operat""&""ional focus extends beyond NCDPI itself, as the agency
will actively
 partner with PSUs across the state to model
operational efficiency and
 share best practices. Through
this pillar, NCDPI will model that careful
 attention to
processes, systems and ser""&""vice delivery creates the
essential
 foundation upon which educational innovation can
flourish, ultimately
 ensuring that North Carolina’s public
schools operate with maximum
 effectiveness to support the
success of every student."")"
P6,6.0,Lead Transformative Change,Lead Transformative Change,,https://go.ncdpi.gov/PillarSix,"North Carolina stands ready to pioneer approaches that will position our
state as a national leader in public education excellence. At the heart
of this pillar is a commitment to research and development that sparks
educational reimagining through thoughtful innovation. NCDPI will serve
as both catalyst and facilitator, establishing networks that transcend
boundaries between traditional public schools, charter schools and lab
schools, sharing promising practices and scaling effective innovations.
Through community-driven school designs and different approaches to
testing and accountability, we will ensure innovation remains grounded in
local needs while benefiting from statewide expertise. Our commitment
also extends to funding reform that prioritizes transparency, flexibility, a
focus on student needs and increased investments. This pillar represents
our commitment to the thoughtful, deliberate work of innovation and
elevating North Carolina’s public schools to new heights by strategically
using research, networks and integrated systems.","North Carolina stands ready to pioneer approaches that will position our
 state as a national leader in public education excellence. At the heart
 of this pillar is a commitment to research and development that sparks
 educational reimagining through thoughtful innovation. NCDPI will serve
 as both catalyst and facilitator, establishing networks that transcend
 boundaries between traditional public schools, charter schools and lab
 schools, sharing promising practices and scaling effective innovations.
 Through community-driven school designs and different approaches to
 testing and accountability, we will ensure innovation remains grounded in
 local needs while benefiting from statewide expertise. Our commitment
 also extends to funding reform that prioritizes transparency, flexibility, a
 focus on student needs and increased investments. This pillar represents
 our commitment to the thoughtful, deliberate work of innovation and
 elevating North Carolina’s public schools to new heights by strategically
 using research, networks and integrated systems.","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""North Carolina stands ready to pioneer approaches that will
position our
 state as a national leader in public education
excellence. At the heart
 of this pillar is a commitment to
research and development that sparks
 educational
reimagining through thou""&""ghtful innovation. NCDPI will serve
as both catalyst and facilitator, establishing networks that
transcend
 boundaries between traditional public schools,
charter schools and lab
 schools, sharing promising
practices and scaling effective innovations.
 T""&""hrough
community-driven school designs and different approaches to
testing and accountability, we will ensure innovation
remains grounded in
 local needs while benefiting from
statewide expertise. Our commitment
 also extends to funding
reform that prior""&""itizes transparency, flexibility, a
 focus
on student needs and increased investments. This pillar
represents
 our commitment to the thoughtful, deliberate
work of innovation and
 elevating North Carolina’s public
schools to new heights by strategically
 ""&""using research,
networks and integrated systems."")"
P7,7.0,Celebrate the Excellence in Public Education,Celebrate the Excellence ,in Public Education,https://go.ncdpi.gov/PillarSeven,"Families all across North Carolina send their children to their local public
school – in fact, the vast majority of them do choose public education.
They entrust their children to the educators whose bright faces greet
them each morning. They build community around high school football
games and middle school band performances. Each year, thousands of
students walk across stages to cheers and tears as they are prepared to
go out and lead the life they choose. Our schools did not become bright
beacons of hope all on their own. Generations of North Carolinians are
proud of our public schools, share their support for schools and have
made the choice to invest in them and make them strong, which is
noteworthy. It is vitally important that these choices are celebrated and
that more make similar choices.","Families all across North Carolina send their children to their local public
 school – in fact, the vast majority of them do choose public education.
 They entrust their children to the educators whose bright faces greet
 them each morning. They build community around high school football
 games and middle school band performances. Each year, thousands of
 students walk across stages to cheers and tears as they are prepared to
 go out and lead the life they choose. Our schools did not become bright
 beacons of hope all on their own. Generations of North Carolinians are
 proud of our public schools, share their support for schools and have
 made the choice to invest in them and make them strong, which is
 noteworthy. It is vitally important that these choices are celebrated and
 that more make similar choices.","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Families all across North Carolina send their children to
their local public
 school – in fact, the vast majority of
them do choose public education.
 They entrust their
children to the educators whose bright faces greet
 them
each morning. They build com""&""munity around high school
football
 games and middle school band performances. Each
year, thousands of
 students walk across stages to cheers
and tears as they are prepared to
 go out and lead the life
they choose. Our schools did not become bright
 beaco""&""ns of
hope all on their own. Generations of North Carolinians are
proud of our public schools, share their support for schools
and have
 made the choice to invest in them and make them
strong, which is
 noteworthy. It is vitally important that
these choi""&""ces are celebrated and
 that more make similar
choices."")"
P8,8.0,Galvanize Champions to Fully Invest in and Support Public Education,Galvanize Champions to Fully Invest In,and Support Public Education,https://go.ncdpi.gov/PillarEight,"North Carolina’s journey toward educational excellence requires more
than vision and strategy — it demands the engagement, advocacy and
investment of champions across our state who recognize public education
as the cornerstone of our shared prosperity and collective future. This
pillar builds upon efforts to transform the narrative around public schools
by converting positive perception into concrete action by aligning
partners behind a unified commitment to educational excellence. We
envision a powerful network of non-education partners who bring fresh
perspectives, resources and influence to advocacy efforts.
By developing a formal alliance of nonprofit, philanthropic and business
champions, we can systematically advocate for increased public school
investments, particularly for critical infrastructure needs and competitive
educator compensation. By elevating authentic stories from local
communities, we will showcase the remarkable achievements occurring
daily in classrooms across North Carolina, creating connections that
inspire deeper engagement while honestly acknowledging challenges
and transparently communicating our strategies to address them.
By galvanizing champions across every sector of our state — from
rural communities to urban centers, from small businesses to major
corporations, from parents to retirees — we create a force for educational
investment and improvement that propels North Carolina’s public schools
to be recognized as the very best in the nation, fulfilling our obligation to
provide every child the world-class education they deserve.","North Carolina’s journey toward educational excellence requires more than vision and strategy — it demands the engagement, advocacy and investment of champions across our state who recognize public education as the cornerstone of our shared prosperity and collective future. This pillar builds upon efforts to transform the narrative around public schools by converting positive perception into concrete action by aligning partners behind a unified commitment to educational excellence. We envision a powerful network of non-education partners who bring fresh perspectives, resources and influence to advocacy efforts. By developing a formal alliance of nonprofit, philanthropic and business champions, we can systematically advocate for increased public school investments, particularly for critical infrastructure needs and competitive educator compensation. By elevating authentic stories from local communities, we will showcase the remarkable achievements occurring daily in classrooms across North Carolina, creating connections that inspire deeper engagement while honestly acknowledging challenges and transparently communicating our strategies to address them. By galvanizing champions across every sector of our state — from rural communities to urban centers, from small businesses to major corporations, from parents to retirees — we create a force for educational investment and improvement that propels North Carolina’s public schools to be recognized as the very best in the nation, fulfilling our obligation to provide every child the world-class education they deserve.","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""North Carolina’s journey toward educational excellence
requires more than vision and strategy — it demands the
engagement, advocacy and investment of champions across our
state who recognize public education as the cornerstone of
our shared prosperity and""&"" collective future. This pillar
builds upon efforts to transform the narrative around public
schools by converting positive perception into concrete
action by aligning partners behind a unified commitment to
educational excellence. We envision a powerful ""&""network of
non-education partners who bring fresh perspectives,
resources and influence to advocacy efforts. By developing a
formal alliance of nonprofit, philanthropic and business
champions, we can systematically advocate for increased
public school inv""&""estments, particularly for critical
infrastructure needs and competitive educator compensation.
By elevating authentic stories from local communities, we
will showcase the remarkable achievements occurring daily in
classrooms across North Carolina, creati""&""ng connections that
inspire deeper engagement while honestly acknowledging
challenges and transparently communicating our strategies to
address them. By galvanizing champions across every sector
of our state — from rural communities to urban centers, from""&""
small businesses to major corporations, from parents to
retirees — we create a force for educational investment and
improvement that propels North Carolina’s public schools to
be recognized as the very best in the nation, fulfilling our
obligation to pro""&""vide every child the world-class education
they deserve."")"
,,,,,,,,
,,,,,,,,
