PillarID,MeasureID,MeasureLbl,Year,ActualValue,TargetValue,Y-axis max,MaxYearWithData,ValueFormat,BusinessOwner,Source,,
P1,P1.M1,CGRS,2024,87,,100,0,#.#%,,,,
P1,P1.M1,CGRS,2025,87.7,,100,1,#.#%,,Curtis,,
P1,P1.M1,CGRS,2026,,88,100,0,#.#%,,,,
P1,P1.M1,CGRS,2027,,89,100,0,#.#%,,,,
P1,P1.M1,CGRS,2028,,90,100,0,#.#%,,,,
P1,P1.M1,CGRS,2029,,91,100,0,#.#%,,,,
P1,P1.M1,CGRS,2030,,92,100,0,#.#%,,,,
P1,P1.M2,ACT Score,2024,18.5,,24,0,#.#,,,,
P1,P1.M2,ACT Score,2025,18.3,,24,1,#.#,,Curtis,Also a difference.,
P1,P1.M2,ACT Score,2026,,18.8,24,0,#.#,,,,
P1,P1.M2,ACT Score,2027,,19.2,24,0,#.#,,,,
P1,P1.M2,ACT Score,2028,,19.5,24,0,#.#,,,,
P1,P1.M2,ACT Score,2029,,19.8,24,0,#.#,,,,
P1,P1.M2,ACT Score,2030,,20,24,0,#.#,,,,
P1,P1.M3,AP Part,2024,21.5,,36,0,#.#%,,,,
P1,P1.M3,AP Part,2025,23,,36,1,#.#%,,Curtis,,
P1,P1.M3,AP Part,2026,,23,36,0,#.#%,,,,
P1,P1.M3,AP Part,2027,,25,36,0,#.#%,,,,
P1,P1.M3,AP Part,2028,,27,36,0,#.#%,,,,
P1,P1.M3,AP Part,2029,,29,36,0,#.#%,,,,
P1,P1.M3,AP Part,2030,,30,36,0,#.#%,,,,
P1,P1.M4,AP Pass,2024,65.4,,90,0,#.#%,,,,
P1,P1.M4,AP Pass,2025,72.1,,90,1,#.#%,,Curtis,,
P1,P1.M4,AP Pass,2026,,67,90,0,#.#%,,,,
P1,P1.M4,AP Pass,2027,,69,90,0,#.#%,,,,
P1,P1.M4,AP Pass,2028,,71,90,0,#.#%,,,,
P1,P1.M4,AP Pass,2029,,73,90,0,#.#%,,,,
P1,P1.M4,AP Pass,2030,,75,90,0,#.#%,,,,
P1,P1.M6,Dual Part,2024,36,,49.2,0,#.#%,,,,
P1,P1.M6,Dual Part,2025,38,,49.2,1,#.#%,,Sneha,Rob entries,
P1,P1.M6,Dual Part,2026,,37,49.2,0,#.#%,,,,
P1,P1.M6,Dual Part,2027,,38,49.2,0,#.#%,,,,
P1,P1.M6,Dual Part,2028,,39,49.2,0,#.#%,,,,
P1,P1.M6,Dual Part,2029,,40,49.2,0,#.#%,,,,
P1,P1.M6,Dual Part,2030,,41,49.2,0,#.#%,,,,
P1,P1.M7,Dual Credit,2024,36,,49.2,0,#.#%,,,,
P1,P1.M7,Dual Credit,2025,36,,49.2,1,#.#%,,Sneha,Rob and Amy,
P1,P1.M7,Dual Credit,2026,,37,49.2,0,#.#%,,,,
P1,P1.M7,Dual Credit,2027,,38,49.2,0,#.#%,,,,
P1,P1.M7,Dual Credit,2028,,39,49.2,0,#.#%,,,,
P1,P1.M7,Dual Credit,2029,,40,49.2,0,#.#%,,,,
P1,P1.M7,Dual Credit,2030,,41,49.2,0,#.#%,,,,
P1,P1.M8,CTE Part,2024,36.1,,50.4,1,#.#%,,,,
P1,P1.M8,CTE Part,2025,,,50.4,0,#.#%,,Misty Wolf,Ask Geoff Coltrane,Also on school report card
P1,P1.M8,CTE Part,2026,,37,50.4,0,#.#%,,,,
P1,P1.M8,CTE Part,2027,,38,50.4,0,#.#%,,,,
P1,P1.M8,CTE Part,2028,,40,50.4,0,#.#%,,,,
P1,P1.M8,CTE Part,2029,,41,50.4,0,#.#%,,,,
P1,P1.M8,CTE Part,2030,,42,50.4,0,#.#%,,,,
P1,P1.M9,CTE Cred,2024,358069,,600000,0,"#,###",,,,
P1,P1.M9,CTE Cred,2025,382964,,600000,1,"#,###",,Misty Wolf,Ask Geoff Coltrane,
P1,P1.M9,CTE Cred,2026,,400000,600000,0,"#,###",,,,
P1,P1.M9,CTE Cred,2027,,425000,600000,0,"#,###",,,,
P1,P1.M9,CTE Cred,2028,,450000,600000,0,"#,###",,,,
P1,P1.M9,CTE Cred,2029,,475000,600000,0,"#,###",,,,
