ActionID,Status,LaunchDate,PulledDate
P1.F1.A1,In Progress,2026-01-01,2026-07-15
P1.F1.A2,Not Started,2027-01-01,2026-07-15
P1.F1.A3,Not Started,2028-01-01,2026-07-15
P1.F2.A1,In Progress,2025-07-01,2026-07-15
P1.F2.A2,In Progress,2026-02-01,2026-07-15
P1.F2.A3,Not Started,2026-08-01,2026-07-15
P1.F3.A1,In Progress,2026-04-01,2026-07-15
P1.F3.A2,Not Started,2026-08-01,2026-07-15
P1.F3.A3,Not Started,2026-12-01,2026-07-15
P1.F3.A4,Not Started,2027-01-01,2026-07-15
P1.F4.A1,In Progress,2025-08-01,2026-07-15
P1.F4.A2,In Progress,2026-01-01,2026-07-15
P1.F4.A3,Not Started,2026-08-01,2026-07-15
P1.F4.A4,Not Started,2026-08-01,2026-07-15
P1.F4.A5,Not Started,2026-08-01,2026-07-15
P1.F4.A6,Not Started,2027-01-01,2026-07-15
P1.F5.A1,Not Started,2027-01-01,2026-07-15
P1.F5.A2,Not Started,2027-01-01,2026-07-15
P1.F5.A3,Not Started,2027-08-01,2026-07-15
P1.F5.A4,Not Started,2028-01-01,2026-07-15
P1.F5.A5,Not Started,2028-08-01,2026-07-15
P2.F1.A1,Not Started,2026-07-01,2026-07-15
P2.F1.A2,Not Started,2026-07-01,2026-07-15
P2.F1.A3,Not Started,2026-08-01,2026-07-15
P2.F1.A4,Not Started,2027-01-01,2026-07-15
P2.F2.A1,In Progress,2025-08-01,2026-07-15
P2.F2.A2,In Progress,2026-02-01,2026-07-15
P2.F2.A3,Not Started,2026-07-01,2026-07-15
P2.F2.A4,Not Started,2027-07-01,2026-07-15
P2.F3.A1,Not Started,2026-11-01,2026-07-15
P2.F3.A2,Not Started,2026-11-01,2026-07-15
P2.F4.A1,Not Started,2026-07-01,2026-07-15
P2.F4.A2,Not Started,2026-08-01,2026-07-15
P2.F4.A3,Not Started,2027-01-01,2026-07-15
P3.F1.A1,In Progress,2026-01-01,2026-07-15
P3.F1.A2,In Progress,2026-03-01,2026-07-15
P3.F1.A3,In Progress,2026-03-01,2026-07-15
P3.F1.A4,Not Started,2026-06-01,2026-07-15
P3.F1.A5,Not Started,2027-05-01,2026-07-15
P3.F2.A1,Not Started,2026-06-01,2026-07-15
P3.F2.A2,Not Started,2027-01-01,2026-07-15
P3.F2.A3,Not Started,2027-01-01,2026-07-15
P3.F2.A4,Not Started,2027-05-01,2026-07-15
P3.F2.A5,Not Started,2027-12-01,2026-07-15
P4.F1.A1,In Progress,2025-09-01,2026-07-15
P4.F1.A2,In Progress,2026-01-01,2026-07-15
P4.F1.A3,Not Started,2027-03-01,2026-07-15
P4.F2.A1,In Progress,2026-01-01,2026-07-15
P4.F2.A2,In Progress,2026-01-01,2026-07-15
P4.F2.A3,In Progress,2026-03-01,2026-07-15
P4.F2.A4,Not Started,2026-08-01,2026-07-15
P4.F2.A5,Not Started,2026-08-01,2026-07-15
P4.F2.A6,Not Started,2027-01-01,2026-07-15
P4.F2.A7,Not Started,2027-12-01,2026-07-15
P4.F2.A8,Not Started,2027-12-01,2026-07-15
P4.F2.A9,Not Started,2028-08-01,2026-07-15
P5.F1.A1,In Progress,2026-01-01,2026-07-15
P5.F1.A2,Not Started,2026-06-01,2026-07-15
P5.F1.A3,In Progress,2026-06-01,2026-07-15
P5.F1.A4,In Progress,2026-06-01,2026-07-15
