Key,Mode,Component,Palette,PaletteLbl,Element,HexCode,RGB,UsageNotes,Font,SizePts
1,Light,Chart,Background,,Chart Background,#FFFFFF,"(255, 255, 255)",,,
2,Light,Chart,Diverging: 3 Steps, 3 Steps,Step +1,#077890,"(7, 120, 144)",,,
3,Light,Chart,Diverging: 3 Steps, 3 Steps,Step 0,#DEDEDE,"(222, 222, 222)",,,
4,Light,Chart,Diverging: 3 Steps, 3 Steps,Step -1,#B33A12,"(179, 58, 18)",,,
5,Light,Chart,Diverging: 5 Steps, 5 Steps,Step +1,#86A4AE,"(134, 164, 174)",,,
6,Light,Chart,Diverging: 5 Steps, 5 Steps,Step +2,#077890,"(7, 120, 144)",,,
7,Light,Chart,Diverging: 5 Steps, 5 Steps,Step 0,#DEDEDE,"(222, 222, 222)",,,
8,Light,Chart,Diverging: 5 Steps, 5 Steps,Step -1,#C88C78,"(200, 140, 120)",,,
9,Light,Chart,Diverging: 5 Steps, 5 Steps,Step -2,#B33A12,"(179, 58, 18)",,,
10,Light,Chart,Diverging: 7 Steps, 7 Steps,Step +1,#B9C4C7,"(185, 196, 199)",,,
11,Light,Chart,Diverging: 7 Steps, 7 Steps,Step +2,#6593A1,"(101, 147, 161)",,,
12,Light,Chart,Diverging: 7 Steps, 7 Steps,Step +3,#077890,"(7, 120, 144)",,,
13,Light,Chart,Diverging: 7 Steps, 7 Steps,Step 0,#DEDEDE,"(222, 222, 222)",,,
14,Light,Chart,Diverging: 7 Steps, 7 Steps,Step -1,#D1BCB5,"(209, 188, 181)",,,
15,Light,Chart,Diverging: 7 Steps, 7 Steps,Step -2,#C26F54,"(194, 111, 84)",,,
16,Light,Chart,Diverging: 7 Steps, 7 Steps,Step -3,#B33A12,"(179, 58, 18)",,,
17,Light,Chart,Diverging: 9 Steps, 9 Steps,Step +1,#CACFD1,"(202, 207, 209)",,,
18,Light,Chart,Diverging: 9 Steps, 9 Steps,Step +2,#9AB0B7,"(154, 176, 183)",,,
19,Light,Chart,Diverging: 9 Steps, 9 Steps,Step +3,#548B9C,"(84, 139, 156)",,,
20,Light,Chart,Diverging: 9 Steps, 9 Steps,Step +4,#077890,"(7, 120, 144)",,,
21,Light,Chart,Diverging: 9 Steps, 9 Steps,Step 0,#DEDEDE,"(222, 222, 222)",,,
22,Light,Chart,Diverging: 9 Steps, 9 Steps,Step -1,#D5CBC8,"(213, 203, 200)",,,
23,Light,Chart,Diverging: 9 Steps, 9 Steps,Step -2,#CC9F91,"(204, 159, 145)",,,
24,Light,Chart,Diverging: 9 Steps, 9 Steps,Step -3,#BE6143,"(190, 97, 67)",,,
25,Light,Chart,Diverging: 9 Steps, 9 Steps,Step -4,#B33A12,"(179, 58, 18)",,,
26,Light,Chart,Diverging: Continuous, Continuous,Begin,#B33A12,"(179, 58, 18)",,,
27,Light,Chart,Diverging: Continuous, Continuous,End,#077890,"(7, 120, 144)",,,
